Shoplifters,48375,10320
Jinrui wa Suitai Shimashita,22997,6503
How Heavy Are the Dumbbells You Lift,20193,3515
Hyouka,15318,4222
Luckyâ˜†Star,14949,4754
Shirobako,13622,4520
Ya Boy Kongming,13351,3147
Sangatsu no Lion,11953,3491
No Game No Life,10260,3536
Angel Beats!,10033,1905
KonoSuba,8606,2001
Fate,8402,2303
Sora yori mo Tooi Basho,7990,2356
Jujutsu Kaisen,7512,2361
Code Geass,6994,2036
Yahari Ore no Seishun,6962,2121
Violet Evergarden,6710,2390
ReZero,6695,1692
Berserk   [Dual Audio FLAC2,6376,1284
Parasyte,6232,1089
My.Hero.Academia.S02.1080p-Hi10p.BluRay.FLAC5.1,6036,1963
God Eater,5882,2512
Non Non Biyori,5842,1673
Vinland Saga,5467,2221
Clannad,5426,1469
Hunter X Hunter,4940,1244
Devilman Crybaby,4867,1000
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,4837,1558
Akame ga Kill!,4722,1546
Steins;Gate Complete Collection,4685,1170
Uchuu Kyoudai   [BD 1080p x264 10bit - FLAC 2,4671,1133
One Piece,4309,947
Wonder Egg Priority,4265,885
Maou Gakuin no Futekigousha,3847,1462
Mushoku Tensei Jobless Reincarnation,3834,1115
Darling in the FranXX,2554,1078
